episode_id,experiment_group,target_vx,reward,tracking_rmse,overshoot_pct,steady_state_error,pwm_jitter,fKeVx,fIeVx,fKeAx,action_norm,episode_index,is_valid_a1
episode_001,A1,1.0,-0.07893920214968554,0.16043534552987374,7.999992370605469,0.0007812500989530236,0.1980819361468373,1.990817737393081,0.40105875402688984,0.5496077425312251,0.009251420031199869,1,True
episode_002,A1,1.0,-0.07886345959859467,0.1398988454407183,7.999992370605469,-0.00038461731030390813,0.21231539597903687,2.024203222058713,0.42178037792444234,0.541878293408081,0.04004648133179801,2,True
episode_003,A1,1.0,-0.07824080759031063,0.11710489073393984,7.999992370605469,0.000989008162702833,0.15330297642140459,2.080960472486913,0.4604615512490273,0.5259924828540534,0.07049806822101165,3,True
episode_004,A1,1.0,-0.07751920475479718,0.10972893201254298,7.999992370605469,0.0,0.20504531251561872,2.1310667565092443,0.4790115776658059,0.49064809377305213,0.06406222770165684,4,True
episode_005,A1,1.0,-0.0866031519102965,0.13031120076689492,9.000003337860107,-0.00023256058176589567,0.1808253307268978,2.0947687527164813,0.514490856230259,0.5131224318873138,0.055510540985182724,5,True
episode_006,A1,1.0,-0.09429059537203072,0.1802179017309811,9.000003337860107,0.010624989867210388,0.20314126464145957,2.07910513933748,0.45912032872438435,0.45125496680848304,0.08449158144836677,6,True
episode_007,A1,1.0,-0.08884563568374439,0.147911170301905,9.000003337860107,0.0,0.18657327617677397,2.026259770058095,0.5011722221970559,0.47697878177277747,0.07226831570770646,7,True
episode_008,A1,1.0,-0.09192775272267237,0.17332308397394008,7.999992370605469,0.0012499988079071045,0.20459773701013598,2.268323286436498,0.4956058564782143,0.5178311675321311,0.2455496850151194,8,True
episode_009,A1,-0.03668140061199665,-0.017173397071880533,0.020301005007023986,,-0.0008525005633293495,0.20963352259754184,2.000407620333135,0.504732133448124,0.45160123999230567,0.27613130278342357,9,True
episode_010,A1,1.0,-0.0964884408597764,0.21470732076403476,9.000003337860107,0.004807687722719633,0.17419782968276523,2.0938756128773095,0.5410206404328346,0.4405163324903697,0.10087614457216189,10,True
episode_011,A1,1.0,-0.09493720553303027,0.21747324760690873,9.000003337860107,0.008653837900895339,0.18032032186811553,2.1139456978067757,0.5185263004899026,0.47930116946809,0.049122980548135624,11,True
episode_012,A1,1.0,-0.10931263179153777,0.25902154530476906,9.000003337860107,0.06352935117833755,0.19463814665499812,2.122419055365026,0.542158125936985,0.43779905135743324,0.04850450257390787,12,True
episode_013,A1,1.0,-0.11685581524828328,0.28453742826578626,9.000003337860107,0.05261899743761335,0.1749291320741521,1.9196201464161278,0.5112730470299721,0.4366372048389167,0.20514052612121425,13,True
